"id","flux","session","order","type","binary","confidence","n1","n2","n3","n4","n5","n6","total"
"100","A1","AB",1,"M",0.611111111111111,2.22,1,4,2,1,4,6,18
"100","A1","AB",1,"NM",0.472222222222222,1.81,1,14,4,4,13,0,36
"101","B1","BA",3,"M",0.555555555555556,2.67,4,4,0,0,2,8,18
"101","B1","BA",3,"NM",0.555555555555556,2.69,10,6,0,0,5,15,36
"102","A1","AB",2,"M",0.277777777777778,1.78,1,7,5,1,3,1,18
"102","A1","AB",2,"NM",0.361111111111111,2,6,10,7,3,6,4,36
"103","B1","BA",4,"M",0.722222222222222,1.67,0,3,2,6,5,2,18
"103","B1","BA",4,"NM",0.666666666666667,1.81,0,8,4,6,15,3,36
"104","A1","AB",1,"M",0.444444444444444,2.17,2,5,3,1,2,5,18
"104","A1","AB",1,"NM",0.416666666666667,2.06,3,16,2,3,8,4,36
"105","B1","BA",3,"M",0.666666666666667,2.5,2,4,0,1,3,8,18
"105","B1","BA",3,"NM",0.472222222222222,2.39,11,8,0,2,10,5,36
"106","A1","AB",2,"M",0.555555555555556,2.39,3,4,1,2,1,7,18
"106","A1","AB",2,"NM",0.361111111111111,1.89,4,10,9,3,6,4,36
"107","B1","BA",4,"M",0.722222222222222,2.5,0,5,0,0,4,9,18
"107","B1","BA",4,"NM",0.527777777777778,2.47,6,10,1,1,5,13,36
"108","A1","AB",1,"M",0.5,2.17,0,7,2,0,4,5,18
"108","A1","AB",1,"NM",0.444444444444444,2.19,5,10,5,0,9,7,36
"109","B1","BA",3,"M",0.5,2.67,5,4,0,0,2,7,18
"109","B1","BA",3,"NM",0.555555555555556,2.58,7,7,2,0,4,16,36
"110","A1","AB",2,"M",0.888888888888889,2.67,2,0,0,2,2,12,18
"110","A1","AB",2,"NM",0.555555555555556,2.47,12,4,0,4,7,9,36
"111","B1","BA",4,"M",0.388888888888889,2.22,3,8,0,0,6,1,18
"111","B1","BA",4,"NM",0.583333333333333,2.25,2,13,0,0,14,7,36
"112","A1","AB",1,"M",0.611111111111111,1.83,0,4,3,3,5,3,18
"112","A1","AB",1,"NM",0.527777777777778,1.94,5,10,2,8,8,3,36
"113","B1","BA",3,"M",0.388888888888889,1.83,2,8,1,4,3,0,18
"113","B1","BA",3,"NM",0.611111111111111,2.33,5,7,2,2,9,11,36
"114","A1","AB",2,"M",1,2.83,0,0,0,0,3,15,18
"114","A1","AB",2,"NM",0.527777777777778,2.06,2,11,4,4,7,8,36
"115","B1","BA",4,"M",0.666666666666667,2.44,2,3,1,0,5,7,18
"115","B1","BA",4,"NM",0.694444444444444,2.39,1,8,2,1,8,16,36
"116","A1","AB",1,"M",0.5,2.06,0,6,3,0,5,4,18
"116","A1","AB",1,"NM",0.388888888888889,1.75,0,11,11,2,8,4,36
"117","B1","BA",3,"M",0.333333333333333,2.28,4,7,1,1,2,3,18
"117","B1","BA",3,"NM",0.583333333333333,2.53,9,6,0,0,11,10,36
"118","A1","AB",2,"M",0.555555555555556,1.72,0,3,5,0,10,0,18
"118","A1","AB",2,"NM",0.527777777777778,1.69,0,11,6,6,12,1,36
"119","B1","BA",4,"M",0.722222222222222,2.5,4,1,0,2,4,7,18
"119","B1","BA",4,"NM",0.527777777777778,2.19,6,8,3,4,7,8,36
"120","A1","AB",1,"M",0.888888888888889,2.56,0,1,1,2,1,13,18
"120","A1","AB",1,"NM",0.527777777777778,2.03,4,11,2,5,10,4,36
"121","B1","BA",3,"M",0.888888888888889,2.44,0,2,0,2,4,10,18
"121","B1","BA",3,"NM",0.583333333333333,2.19,1,12,2,1,11,9,36
"122","A1","AB",2,"M",0.388888888888889,1.89,0,7,4,1,3,3,18
"122","A1","AB",2,"NM",0.277777777777778,1.92,6,12,8,2,7,1,36
"100","B1","AB",3,"M",0.944444444444444,1.89,0,1,0,2,15,0,18
"100","B1","AB",3,"NM",0.694444444444444,1.92,0,7,4,2,20,3,36
